#  id   data  pi  pocket  name                            description

   0    0     1   1       air                             Air
   1    0     1   1       stone                           Stone
   1    1     1   1       stone                           Granite
   1    2     1   1       stone                           Polished Granite
   1    3     1   1       stone                           Diorite
   1    4     1   1       stone                           Polished Diorite
   1    5     1   1       stone                           Andesite
   1    6     1   1       stone                           Polished Andesite
   2    0     1   1       grass                           Grass
   3    0     1   1       dirt                            Dirt
   3    1     1   1       dirt                            Coarse Dirt
   3    2     1   1       dirt                            Podzol
   4    0     1   1       cobblestone                     Cobblestone
   5    0     1   1       planks                          Oak Wood Plank
   5    1     1   1       planks                          Spruce Wood Plank
   5    2     1   1       planks                          Birch Wood Plank
   5    3     1   1       planks                          Jungle Wood Plank
   5    4     1   1       planks                          Acacia Wood Plank
   5    5     1   1       planks                          Dark Oak Wood Plank
   6    0     1   1       sapling                         Oak Sapling
   6    1     1   1       sapling                         Spruce Sapling
   6    2     1   1       sapling                         Birch Sapling
   6    3     1   1       sapling                         Jungle Sapling
   6    4     1   1       sapling                         Acacia Sapling
   6    5     1   1       sapling                         Dark Oak Sapling
   7    0     1   1       bedrock                         Bedrock
   8    0     1   1       flowing_water                   Flowing Water
   9    0     1   1       water                           Still Water
   10   0     1   1       flowing_lava                    Flowing Lava
   11   0     1   1       lava                            Still Lava
   12   0     1   1       sand                            Sand
   12   1     1   1       sand                            Red Sand
   13   0     1   1       gravel                          Gravel
   14   0     1   1       gold_ore                        Gold Ore
   15   0     1   1       iron_ore                        Iron Ore
   16   0     1   1       coal_ore                        Coal Ore
   17   0     1   1       log                             Oak Wood
   17   1     1   1       log                             Spruce Wood
   17   2     1   1       log                             Birch Wood
   17   3     1   1       log                             Jungle Wood
   18   0     1   1       leaves                          Oak Leaves
   18   1     1   1       leaves                          Spruce Leaves
   18   2     1   1       leaves                          Birch Leaves
   18   3     1   1       leaves                          Jungle Leaves
   19   0     0   1       sponge                          Sponge
   19   1     0   1       sponge                          Wet Sponge
   20   0     1   1       glass                           Glass
